 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Dez/2020
"Unidade da Federação";"Internações"
"11 Rondônia";28
"12 Acre";121
"13 Amazonas";42
"14 Roraima";69
"15 Pará";472
"16 Amapá";110
"21 Maranhão";502
"22 Piauí";220
"23 Ceará";659
"24 Rio Grande do Norte";246
"25 Paraíba";274
"26 Pernambuco";720
"27 Alagoas";246
"28 Sergipe";164
"29 Bahia";1122
"31 Minas Gerais";858
"32 Espírito Santo";217
"33 Rio de Janeiro";923
"35 São Paulo";2092
"41 Paraná";649
"42 Santa Catarina";358
"43 Rio Grande do Sul";420
"50 Mato Grosso do Sul";111
"51 Mato Grosso";197
"52 Goiás";184
"53 Distrito Federal";148
"Total";11152
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
