 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Out/2019
"Unidade da Federação";"Internações"
"11 Rondônia";158
"12 Acre";118
"13 Amazonas";432
"14 Roraima";93
"15 Pará";700
"16 Amapá";110
"17 Tocantins";189
"21 Maranhão";606
"22 Piauí";366
"23 Ceará";775
"24 Rio Grande do Norte";331
"25 Paraíba";324
"26 Pernambuco";753
"27 Alagoas";242
"28 Sergipe";227
"29 Bahia";1428
"31 Minas Gerais";1372
"32 Espírito Santo";257
"33 Rio de Janeiro";1126
"35 São Paulo";2714
"41 Paraná";740
"42 Santa Catarina";625
"43 Rio Grande do Sul";530
"50 Mato Grosso do Sul";191
"51 Mato Grosso";306
"52 Goiás";363
"53 Distrito Federal";186
"Total";15262
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
