 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Ago/2019
"Unidade da Federação";"Internações"
"11 Rondônia";178
"12 Acre";140
"13 Amazonas";445
"14 Roraima";167
"15 Pará";539
"16 Amapá";101
"17 Tocantins";194
"21 Maranhão";579
"22 Piauí";363
"23 Ceará";877
"24 Rio Grande do Norte";339
"25 Paraíba";300
"26 Pernambuco";751
"27 Alagoas";298
"28 Sergipe";173
"29 Bahia";1414
"31 Minas Gerais";1208
"32 Espírito Santo";217
"33 Rio de Janeiro";1061
"35 São Paulo";2594
"41 Paraná";712
"42 Santa Catarina";572
"43 Rio Grande do Sul";599
"50 Mato Grosso do Sul";152
"51 Mato Grosso";290
"52 Goiás";332
"53 Distrito Federal";170
"Total";14765
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
