 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Jun/2020
"Unidade da Federação";"Internações"
"11 Rondônia";145
"12 Acre";101
"13 Amazonas";353
"14 Roraima";89
"15 Pará";586
"16 Amapá";98
"17 Tocantins";94
"21 Maranhão";400
"22 Piauí";292
"23 Ceará";699
"24 Rio Grande do Norte";345
"25 Paraíba";254
"26 Pernambuco";553
"27 Alagoas";177
"28 Sergipe";199
"29 Bahia";971
"31 Minas Gerais";1033
"32 Espírito Santo";204
"33 Rio de Janeiro";854
"35 São Paulo";2128
"41 Paraná";601
"42 Santa Catarina";371
"43 Rio Grande do Sul";437
"50 Mato Grosso do Sul";123
"51 Mato Grosso";222
"52 Goiás";229
"53 Distrito Federal";136
"Total";11694
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
