 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Nov/2020
"Unidade da Federação";"Internações"
"11 Rondônia";88
"12 Acre";145
"13 Amazonas";373
"14 Roraima";86
"15 Pará";504
"16 Amapá";69
"17 Tocantins";1
"21 Maranhão";569
"22 Piauí";268
"23 Ceará";822
"24 Rio Grande do Norte";260
"25 Paraíba";267
"26 Pernambuco";727
"27 Alagoas";229
"28 Sergipe";262
"29 Bahia";1278
"31 Minas Gerais";994
"32 Espírito Santo";209
"33 Rio de Janeiro";922
"35 São Paulo";2217
"41 Paraná";712
"42 Santa Catarina";463
"43 Rio Grande do Sul";515
"50 Mato Grosso do Sul";127
"51 Mato Grosso";250
"52 Goiás";223
"53 Distrito Federal";136
"Total";12716
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
