 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Set/2020
"Unidade da Federação";"Internações"
"11 Rondônia";130
"12 Acre";130
"13 Amazonas";456
"14 Roraima";80
"15 Pará";538
"16 Amapá";98
"17 Tocantins";1
"21 Maranhão";525
"22 Piauí";332
"23 Ceará";743
"24 Rio Grande do Norte";314
"25 Paraíba";295
"26 Pernambuco";620
"27 Alagoas";245
"28 Sergipe";194
"29 Bahia";1085
"31 Minas Gerais";1099
"32 Espírito Santo";169
"33 Rio de Janeiro";1025
"35 São Paulo";2201
"41 Paraná";660
"42 Santa Catarina";460
"43 Rio Grande do Sul";475
"50 Mato Grosso do Sul";137
"51 Mato Grosso";257
"52 Goiás";287
"53 Distrito Federal";134
"Total";12690
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
