 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Jul/2020
"Unidade da Federação";"Internações"
"11 Rondônia";144
"12 Acre";102
"13 Amazonas";358
"14 Roraima";86
"15 Pará";516
"16 Amapá";174
"17 Tocantins";142
"21 Maranhão";488
"22 Piauí";315
"23 Ceará";741
"24 Rio Grande do Norte";303
"25 Paraíba";277
"26 Pernambuco";674
"27 Alagoas";229
"28 Sergipe";178
"29 Bahia";1004
"31 Minas Gerais";1083
"32 Espírito Santo";230
"33 Rio de Janeiro";1023
"35 São Paulo";2247
"41 Paraná";678
"42 Santa Catarina";466
"43 Rio Grande do Sul";479
"50 Mato Grosso do Sul";148
"51 Mato Grosso";248
"52 Goiás";283
"53 Distrito Federal";132
"Total";12748
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
